ID;QALD;Keywords Extracted;instrTree;instrPath;Longest QT-Path;Precision;Recall;F1-Score
308;Which movies belong to the Cornetto trilogy ?;movies,belong,Cornetto trilogy;null;Cornetto trilogy (NE);Cornetto trilogy (match);0;0;0
309;During what event was the Four Policemen Council proposed?;event,the Four Policemen Council,proposed;null;null;null;0;0;0
312;Which other movies by the director of Another Round also starred Mads Mikkelsen ?;movies,director,Another Round,starred,Mads Mikkelsen;null;Another Round (NE),director;Another Round (match),director;0;0;0
316;Which songs made up the album Fijación Oral vol. 1 ?;songs,made,album Fijación,vol.;null;album Fijación (NE);album Fijación (match);0;0;0
320;Which teams participated in the 2020 UEFA Champions League Final ?;teams,participated,UEFA Final Champions League;null;UEFA Final Champions League (NE),participated;UEFA Final Champions League (match),sport;0;0;0
335;Who is the creator of the Dinosaurs tv show ?;creator,Dinosaurs tv show;null;null;null;0;0;0
341;In which country is the Nanga Parbat located?;country,the Nanga Parbat,located;null;the Nanga Parbat (NE),located,country;the Nanga Parbat (match),location,country;1;1;1
344;For what literature prize was Simone de Beauvoir nominated?;literature prize,Simone de Beauvoir,nominated;null;Simone de Beauvoir (NE);Simone de Beauvoir (match);0;0;0
345;What is the website of NPR's “Tiny Desk Concert”?;website,NPR,Tiny Desk Concert;null;NPR (NE);NPR (match);0;0;0
348;Who was the director of Llamas with Hats ?;director,Llamas with Hats;null;null;null;0;0;0
350;Who was the original actor who played Pinhead ?;actor,played,Pinhead;null;Pinhead (NE),played,actor;Pinhead (match),extended play,performer;0;0;0
353;Who wrote the poem Howl ?;wrote,poem Howl;null;null;null;0;0;0
377;What is native name of the composer of the Japanese national anthem?;name,composer,Japanese,anthem;null;Japanese (NE),anthem,composer;Japanese (match),anthem,composer;0;0;0
378;Who is the founder of the capital of Vietnam?;founder,capital,Vietnam;null;Vietnam (NE),capital,founder;Vietnam (match),capital,founded by;0.5;1;0.6666666666666666
379;Who is the manager of the operator of Neumayer III?;manager,operator,Neumayer III;null;Neumayer III (NE),operator,manager;Neumayer III (match),operator,director / manager;0.2;1;0.33333333333333337
380;How high is the mountain on which Günther Messner died?;mountain,Günther Messner,died;null;Günther Messner (NE),died,mountain;Günther Messner (match),place of death,mountain;0;0;0
383;What is the area of the capital of Spitsbergen?;area,capital,Spitsbergen;null;Spitsbergen (NE),capital,area;Spitsbergen (match),capital,area;1;1;1
384;What percentage of Andorra is covered with water?;percentage,Andorra,covered,water;null;Andorra (NE),percentage;Andorra (match),literacy rate;0;0;0
387;At what coordinates was the "Sender Teutoburger Wald" erected?;coordinates,the "Sender Teutoburger Wald,erected;null;null;null;0;0;0
388;Where is the poet Alexander Pope buried?;poet,Alexander Pope,buried;null;Alexander Pope (NE);Alexander Pope (match);0;0;0
390;Who founded the architectural firm who planned the Elbphilharmonie?;founded,firm,planned,Elbphilharmonie;null;Elbphilharmonie (NE);Elbphilharmonie (match);0;0;0
391;Where are the founders of the band Metallica from?;founders,band,Metallica;null;Metallica (NE);Metallica (match);0;0;0
392;Where does the Granny Smith apple variety come from?;Granny Smith apple variety,come;null;null;null;0;0;0
