ID;QALD;IDS SPARQL;Keywords Extracted;instrTree;instrPath;Longest QT-Path;Precision;Recall;F1-Score;Runtime;Nb Call
138;In which year did ABBA publish their album The Visitors ?;undefined;year(undefined),ABBA(NE),publish(undefined),album(undefined),The Visitors(NE);ROOT[undefined: undefined]  year[1: 1]    ABBA[2: 1]      publish[3: 1]        album[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          album[5: 1]      album[3: 2]        publish[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          publish[5: 1]      The Visitors[3: 3]        publish[4: 1]          album[5: 1]        album[4: 2]          publish[5: 1]    publish[2: 2]      ABBA[3: 1]        album[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          album[5: 1]      album[3: 2]        ABBA[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          ABBA[5: 1]      The Visitors[3: 3]        ABBA[4: 1]          album[5: 1]        album[4: 2]          ABBA[5: 1]    album[2: 3]      ABBA[3: 1]        publish[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          publish[5: 1]      publish[3: 2]        ABBA[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          ABBA[5: 1]      The Visitors[3: 3]        ABBA[4: 1]          publish[5: 1]        publish[4: 2]          ABBA[5: 1]    The Visitors[2: 4]      ABBA[3: 1]        publish[4: 1]          album[5: 1]        album[4: 2]          publish[5: 1]      publish[3: 2]        ABBA[4: 1]          album[5: 1]        album[4: 2]          ABBA[5: 1]      album[3: 3]        ABBA[4: 1]          publish[5: 1]        publish[4: 2]          ABBA[5: 1]  ABBA[1: 2]    year[2: 1]      publish[3: 1]        album[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          album[5: 1]      album[3: 2]        publish[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          publish[5: 1]      The Visitors[3: 3]        publish[4: 1]          album[5: 1]        album[4: 2]          publish[5: 1]    publish[2: 2]      year[3: 1]        album[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          album[5: 1]      album[3: 2]        year[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          year[5: 1]      The Visitors[3: 3]        year[4: 1]          album[5: 1]        album[4: 2]          year[5: 1]    album[2: 3]      year[3: 1]        publish[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          publish[5: 1]      publish[3: 2]        year[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          year[5: 1]      The Visitors[3: 3]        year[4: 1]          publish[5: 1]        publish[4: 2]          year[5: 1]    The Visitors[2: 4]      year[3: 1]        publish[4: 1]          album[5: 1]        album[4: 2]          publish[5: 1]      publish[3: 2]        year[4: 1]          album[5: 1]        album[4: 2]          year[5: 1]      album[3: 3]        year[4: 1]          publish[5: 1]        publish[4: 2]          year[5: 1]  publish[1: 3]    year[2: 1]      ABBA[3: 1]        album[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          album[5: 1]      album[3: 2]        ABBA[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          ABBA[5: 1]      The Visitors[3: 3]        ABBA[4: 1]          album[5: 1]        album[4: 2]          ABBA[5: 1]    ABBA[2: 2]      year[3: 1]        album[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          album[5: 1]      album[3: 2]        year[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          year[5: 1]      The Visitors[3: 3]        year[4: 1]          album[5: 1]        album[4: 2]          year[5: 1]    album[2: 3]      year[3: 1]        ABBA[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          ABBA[5: 1]      ABBA[3: 2]        year[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          year[5: 1]      The Visitors[3: 3]        year[4: 1]          ABBA[5: 1]        ABBA[4: 2]          year[5: 1]    The Visitors[2: 4]      year[3: 1]        ABBA[4: 1]          album[5: 1]        album[4: 2]          ABBA[5: 1]      ABBA[3: 2]        year[4: 1]          album[5: 1]        album[4: 2]          year[5: 1]      album[3: 3]        year[4: 1]          ABBA[5: 1]        ABBA[4: 2]          year[5: 1]  album[1: 4]    year[2: 1]      ABBA[3: 1]        publish[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          publish[5: 1]      publish[3: 2]        ABBA[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          ABBA[5: 1]      The Visitors[3: 3]        ABBA[4: 1]          publish[5: 1]        publish[4: 2]          ABBA[5: 1]    ABBA[2: 2]      year[3: 1]        publish[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          publish[5: 1]      publish[3: 2]        year[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          year[5: 1]      The Visitors[3: 3]        year[4: 1]          publish[5: 1]        publish[4: 2]          year[5: 1]    publish[2: 3]      year[3: 1]        ABBA[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          ABBA[5: 1]      ABBA[3: 2]        year[4: 1]          The Visitors[5: 1]        The Visitors[4: 2]          year[5: 1]      The Visitors[3: 3]        year[4: 1]          ABBA[5: 1]        ABBA[4: 2]          year[5: 1]    The Visitors[2: 4]      year[3: 1]        ABBA[4: 1]          publish[5: 1]        publish[4: 2]          ABBA[5: 1]      ABBA[3: 2]        year[4: 1]          publish[5: 1]        publish[4: 2]          year[5: 1]      publish[3: 3]        year[4: 1]          ABBA[5: 1]        ABBA[4: 2]          year[5: 1]  The Visitors[1: 5]    year[2: 1]      ABBA[3: 1]        publish[4: 1]          album[5: 1]        album[4: 2]          publish[5: 1]      publish[3: 2]        ABBA[4: 1]          album[5: 1]        album[4: 2]          ABBA[5: 1]      album[3: 3]        ABBA[4: 1]          publish[5: 1]        publish[4: 2]          ABBA[5: 1]    ABBA[2: 2]      year[3: 1]        publish[4: 1]          album[5: 1]        album[4: 2]          publish[5: 1]      publish[3: 2]        year[4: 1]          album[5: 1]        album[4: 2]          year[5: 1]      album[3: 3]        year[4: 1]          publish[5: 1]        publish[4: 2]          year[5: 1]    publish[2: 3]      year[3: 1]        ABBA[4: 1]          album[5: 1]        album[4: 2]          ABBA[5: 1]      ABBA[3: 2]        year[4: 1]          album[5: 1]        album[4: 2]          year[5: 1]      album[3: 3]        year[4: 1]          ABBA[5: 1]        ABBA[4: 2]          year[5: 1]    album[2: 4]      year[3: 1]        ABBA[4: 1]          publish[5: 1]        publish[4: 2]          ABBA[5: 1]      ABBA[3: 2]        year[4: 1]          publish[5: 1]        publish[4: 2]          year[5: 1]      publish[3: 3]        year[4: 1]          ABBA[5: 1]        ABBA[4: 2]          year[5: 1];;;0;0;0;110;2437781
139;In which year was the author of “The Vanishing Half” born?;undefined;year(undefined),author(undefined),The Vanishing Half”(NE),born(undefined);ROOT[undefined: undefined]  year[1: 1]    author[2: 1]      The Vanishing Half”[3: 1]        born[4: 1]      born[3: 2]        The Vanishing Half”[4: 1]    The Vanishing Half”[2: 2]      author[3: 1]        born[4: 1]      born[3: 2]        author[4: 1]    born[2: 3]      author[3: 1]        The Vanishing Half”[4: 1]      The Vanishing Half”[3: 2]        author[4: 1]  author[1: 2]    year[2: 1]      The Vanishing Half”[3: 1]        born[4: 1]      born[3: 2]        The Vanishing Half”[4: 1]    The Vanishing Half”[2: 2]      year[3: 1]        born[4: 1]      born[3: 2]        year[4: 1]    born[2: 3]      year[3: 1]        The Vanishing Half”[4: 1]      The Vanishing Half”[3: 2]        year[4: 1]  The Vanishing Half”[1: 3]    year[2: 1]      author[3: 1]        born[4: 1]      born[3: 2]        author[4: 1]    author[2: 2]      year[3: 1]        born[4: 1]      born[3: 2]        year[4: 1]    born[2: 3]      year[3: 1]        author[4: 1]      author[3: 2]        year[4: 1]  born[1: 4]    year[2: 1]      author[3: 1]        The Vanishing Half”[4: 1]      The Vanishing Half”[3: 2]        author[4: 1]    author[2: 2]      year[3: 1]        The Vanishing Half”[4: 1]      The Vanishing Half”[3: 2]        year[4: 1]    The Vanishing Half”[2: 3]      year[3: 1]        author[4: 1]      author[3: 2]        year[4: 1];;;0;0;0;142;4559831
163;Of which political party was Joseph Beuys a member?;undefined;party(undefined),Joseph Beuys(NE),member(undefined);ROOT[undefined: undefined]  party[1: 1]    Joseph Beuys[2: 1]      member[3: 1]    member[2: 2]      Joseph Beuys[3: 1]  Joseph Beuys[1: 2]    party[2: 1]      member[3: 1]    member[2: 2]      party[3: 1]  member[1: 3]    party[2: 1]      Joseph Beuys[3: 1]    Joseph Beuys[2: 2]      party[3: 1];party,Joseph Beuys (NE),member;member of political party,Joseph Beuys (match),member of political party;1;1;1;7;18202
164;In what year did the Hollywood Walk of Fame open?;undefined;year(undefined),Hollywood Walk of Fame(NE);ROOT[undefined: undefined]  year[1: 1]    Hollywood Walk of Fame[2: 1]  Hollywood Walk of Fame[1: 2]    year[2: 1];;;0;0;0;33;75428
165;on which video streaming services can i watch hunter x hunter anime series?;undefined;video streaming services(undefined),watch(undefined),hunter x hunter(NE),anime series(undefined);ROOT[undefined: undefined]  video streaming services[1: 1]    watch[2: 1]      hunter x hunter[3: 1]        anime series[4: 1]      anime series[3: 2]        hunter x hunter[4: 1]    hunter x hunter[2: 2]      watch[3: 1]        anime series[4: 1]      anime series[3: 2]        watch[4: 1]    anime series[2: 3]      watch[3: 1]        hunter x hunter[4: 1]      hunter x hunter[3: 2]        watch[4: 1]  watch[1: 2]    video streaming services[2: 1]      hunter x hunter[3: 1]        anime series[4: 1]      anime series[3: 2]        hunter x hunter[4: 1]    hunter x hunter[2: 2]      video streaming services[3: 1]        anime series[4: 1]      anime series[3: 2]        video streaming services[4: 1]    anime series[2: 3]      video streaming services[3: 1]        hunter x hunter[4: 1]      hunter x hunter[3: 2]        video streaming services[4: 1]  hunter x hunter[1: 3]    video streaming services[2: 1]      watch[3: 1]        anime series[4: 1]      anime series[3: 2]        watch[4: 1]    watch[2: 2]      video streaming services[3: 1]        anime series[4: 1]      anime series[3: 2]        video streaming services[4: 1]    anime series[2: 3]      video streaming services[3: 1]        watch[4: 1]      watch[3: 2]        video streaming services[4: 1]  anime series[1: 4]    video streaming services[2: 1]      watch[3: 1]        hunter x hunter[4: 1]      hunter x hunter[3: 2]        watch[4: 1]    watch[2: 2]      video streaming services[3: 1]        hunter x hunter[4: 1]      hunter x hunter[3: 2]        video streaming services[4: 1]    hunter x hunter[2: 3]      video streaming services[3: 1]        watch[4: 1]      watch[3: 2]        video streaming services[4: 1];;;0;0;0;43;139723
167;In what year did the district of Höxter come into existence?;undefined;year(undefined),district(undefined),Höxter(NE),come(undefined),existence(undefined);ROOT[undefined: undefined]  year[1: 1]    district[2: 1]      Höxter[3: 1]        come[4: 1]          existence[5: 1]        existence[4: 2]          come[5: 1]      come[3: 2]        Höxter[4: 1]          existence[5: 1]        existence[4: 2]          Höxter[5: 1]      existence[3: 3]        Höxter[4: 1]          come[5: 1]        come[4: 2]          Höxter[5: 1]    Höxter[2: 2]      district[3: 1]        come[4: 1]          existence[5: 1]        existence[4: 2]          come[5: 1]      come[3: 2]        district[4: 1]          existence[5: 1]        existence[4: 2]          district[5: 1]      existence[3: 3]        district[4: 1]          come[5: 1]        come[4: 2]          district[5: 1]    come[2: 3]      district[3: 1]        Höxter[4: 1]          existence[5: 1]        existence[4: 2]          Höxter[5: 1]      Höxter[3: 2]        district[4: 1]          existence[5: 1]        existence[4: 2]          district[5: 1]      existence[3: 3]        district[4: 1]          Höxter[5: 1]        Höxter[4: 2]          district[5: 1]    existence[2: 4]      district[3: 1]        Höxter[4: 1]          come[5: 1]        come[4: 2]          Höxter[5: 1]      Höxter[3: 2]        district[4: 1]          come[5: 1]        come[4: 2]          district[5: 1]      come[3: 3]        district[4: 1]          Höxter[5: 1]        Höxter[4: 2]          district[5: 1]  district[1: 2]    year[2: 1]      Höxter[3: 1]        come[4: 1]          existence[5: 1]        existence[4: 2]          come[5: 1]      come[3: 2]        Höxter[4: 1]          existence[5: 1]        existence[4: 2]          Höxter[5: 1]      existence[3: 3]        Höxter[4: 1]          come[5: 1]        come[4: 2]          Höxter[5: 1]    Höxter[2: 2]      year[3: 1]        come[4: 1]          existence[5: 1]        existence[4: 2]          come[5: 1]      come[3: 2]        year[4: 1]          existence[5: 1]        existence[4: 2]          year[5: 1]      existence[3: 3]        year[4: 1]          come[5: 1]        come[4: 2]          year[5: 1]    come[2: 3]      year[3: 1]        Höxter[4: 1]          existence[5: 1]        existence[4: 2]          Höxter[5: 1]      Höxter[3: 2]        year[4: 1]          existence[5: 1]        existence[4: 2]          year[5: 1]      existence[3: 3]        year[4: 1]          Höxter[5: 1]        Höxter[4: 2]          year[5: 1]    existence[2: 4]      year[3: 1]        Höxter[4: 1]          come[5: 1]        come[4: 2]          Höxter[5: 1]      Höxter[3: 2]        year[4: 1]          come[5: 1]        come[4: 2]          year[5: 1]      come[3: 3]        year[4: 1]          Höxter[5: 1]        Höxter[4: 2]          year[5: 1]  Höxter[1: 3]    year[2: 1]      district[3: 1]        come[4: 1]          existence[5: 1]        existence[4: 2]          come[5: 1]      come[3: 2]        district[4: 1]          existence[5: 1]        existence[4: 2]          district[5: 1]      existence[3: 3]        district[4: 1]          come[5: 1]        come[4: 2]          district[5: 1]    district[2: 2]      year[3: 1]        come[4: 1]          existence[5: 1]        existence[4: 2]          come[5: 1]      come[3: 2]        year[4: 1]          existence[5: 1]        existence[4: 2]          year[5: 1]      existence[3: 3]        year[4: 1]          come[5: 1]        come[4: 2]          year[5: 1]    come[2: 3]      year[3: 1]        district[4: 1]          existence[5: 1]        existence[4: 2]          district[5: 1]      district[3: 2]        year[4: 1]          existence[5: 1]        existence[4: 2]          year[5: 1]      existence[3: 3]        year[4: 1]          district[5: 1]        district[4: 2]          year[5: 1]    existence[2: 4]      year[3: 1]        district[4: 1]          come[5: 1]        come[4: 2]          district[5: 1]      district[3: 2]        year[4: 1]          come[5: 1]        come[4: 2]          year[5: 1]      come[3: 3]        year[4: 1]          district[5: 1]        district[4: 2]          year[5: 1]  come[1: 4]    year[2: 1]      district[3: 1]        Höxter[4: 1]          existence[5: 1]        existence[4: 2]          Höxter[5: 1]      Höxter[3: 2]        district[4: 1]          existence[5: 1]        existence[4: 2]          district[5: 1]      existence[3: 3]        district[4: 1]          Höxter[5: 1]        Höxter[4: 2]          district[5: 1]    district[2: 2]      year[3: 1]        Höxter[4: 1]          existence[5: 1]        existence[4: 2]          Höxter[5: 1]      Höxter[3: 2]        year[4: 1]          existence[5: 1]        existence[4: 2]          year[5: 1]      existence[3: 3]        year[4: 1]          Höxter[5: 1]        Höxter[4: 2]          year[5: 1]    Höxter[2: 3]      year[3: 1]        district[4: 1]          existence[5: 1]        existence[4: 2]          district[5: 1]      district[3: 2]        year[4: 1]          existence[5: 1]        existence[4: 2]          year[5: 1]      existence[3: 3]        year[4: 1]          district[5: 1]        district[4: 2]          year[5: 1]    existence[2: 4]      year[3: 1]        district[4: 1]          Höxter[5: 1]        Höxter[4: 2]          district[5: 1]      district[3: 2]        year[4: 1]          Höxter[5: 1]        Höxter[4: 2]          year[5: 1]      Höxter[3: 3]        year[4: 1]          district[5: 1]        district[4: 2]          year[5: 1]  existence[1: 5]    year[2: 1]      district[3: 1]        Höxter[4: 1]          come[5: 1]        come[4: 2]          Höxter[5: 1]      Höxter[3: 2]        district[4: 1]          come[5: 1]        come[4: 2]          district[5: 1]      come[3: 3]        district[4: 1]          Höxter[5: 1]        Höxter[4: 2]          district[5: 1]    district[2: 2]      year[3: 1]        Höxter[4: 1]          come[5: 1]        come[4: 2]          Höxter[5: 1]      Höxter[3: 2]        year[4: 1]          come[5: 1]        come[4: 2]          year[5: 1]      come[3: 3]        year[4: 1]          Höxter[5: 1]        Höxter[4: 2]          year[5: 1]    Höxter[2: 3]      year[3: 1]        district[4: 1]          come[5: 1]        come[4: 2]          district[5: 1]      district[3: 2]        year[4: 1]          come[5: 1]        come[4: 2]          year[5: 1]      come[3: 3]        year[4: 1]          district[5: 1]        district[4: 2]          year[5: 1]    come[2: 4]      year[3: 1]        district[4: 1]          Höxter[5: 1]        Höxter[4: 2]          district[5: 1]      district[3: 2]        year[4: 1]          Höxter[5: 1]        Höxter[4: 2]          year[5: 1]      Höxter[3: 3]        year[4: 1]          district[5: 1]        district[4: 2]          year[5: 1];;;0;0;0;109;3206990
173;Through which countries does the Danube go?;undefined;countries(undefined),Danube(NE),go(undefined);ROOT[undefined: undefined]  countries[1: 1]    Danube[2: 1]      go[3: 1]    go[2: 2]      Danube[3: 1]  Danube[1: 2]    countries[2: 1]      go[3: 1]    go[2: 2]      countries[3: 1]  go[1: 3]    countries[2: 1]      Danube[3: 1]    Danube[2: 2]      countries[3: 1];;;0;0;0;61;264196
174;What do sperm whales mainly eat?;undefined;sperm whales(undefined),eat(undefined);ROOT[undefined: undefined]  sperm whales[1: 1]    eat[2: 1]  eat[1: 2]    sperm whales[2: 1];;;0;0;0;29;76189
184;Which river flows through the Grand Canyon?;undefined;river(undefined),flows(undefined),Grand Canyon(NE);ROOT[undefined: undefined]  river[1: 1]    flows[2: 1]      Grand Canyon[3: 1]    Grand Canyon[2: 2]      flows[3: 1]  flows[1: 2]    river[2: 1]      Grand Canyon[3: 1]    Grand Canyon[2: 2]      river[3: 1]  Grand Canyon[1: 3]    river[2: 1]      flows[3: 1]    flows[2: 2]      river[3: 1];;;0;0;0;61;153828
189;What are the professions of John Lennon’s sons?;undefined;professions(undefined),John Lennon’s(NE),sons(undefined);ROOT[undefined: undefined]  professions[1: 1]    John Lennon’s[2: 1]      sons[3: 1]    sons[2: 2]      John Lennon’s[3: 1]  John Lennon’s[1: 2]    professions[2: 1]      sons[3: 1]    sons[2: 2]      professions[3: 1]  sons[1: 3]    professions[2: 1]      John Lennon’s[3: 1]    John Lennon’s[2: 2]      professions[3: 1];professions,John Lennon’s (NE),sons;occupation,John Lennon’s (match),child;0;0;0;8;35637
192;What colors does the German national flag have?;undefined;colors(undefined),German(NE),flag(undefined);ROOT[undefined: undefined]  colors[1: 1]    German[2: 1]      flag[3: 1]    flag[2: 2]      German[3: 1]  German[1: 2]    colors[2: 1]      flag[3: 1]    flag[2: 2]      colors[3: 1]  flag[1: 3]    colors[2: 1]      German[3: 1]    German[2: 2]      colors[3: 1];German (NE),flag,colors;German (match),flag,color;1;0.75;0.8571428571428571;22;127482
198;What instruments did Louis Armstrong play?;undefined;instruments(undefined),Louis Armstrong(NE),play(undefined);ROOT[undefined: undefined]  instruments[1: 1]    Louis Armstrong[2: 1]      play[3: 1]    play[2: 2]      Louis Armstrong[3: 1]  Louis Armstrong[1: 2]    instruments[2: 1]      play[3: 1]    play[2: 2]      instruments[3: 1]  play[1: 3]    instruments[2: 1]      Louis Armstrong[3: 1]    Louis Armstrong[2: 2]      instruments[3: 1];;;0;0;0;160;797733
200;What is the binary gender of the partner of Allen Ginsberg ?;undefined;gender(undefined),partner(undefined),Allen Ginsberg(NE);ROOT[undefined: undefined]  gender[1: 1]    partner[2: 1]      Allen Ginsberg[3: 1]    Allen Ginsberg[2: 2]      partner[3: 1]  partner[1: 2]    gender[2: 1]      Allen Ginsberg[3: 1]    Allen Ginsberg[2: 2]      gender[3: 1]  Allen Ginsberg[1: 3]    gender[2: 1]      partner[3: 1]    partner[2: 2]      gender[3: 1];gender,partner,Allen Ginsberg (NE);sex or gender,spouse,Allen Ginsberg (match);0;0;0;38;882407
201;What is the capital of the prefecture Tokyo ?;undefined;capital(undefined),prefecture(undefined),Tokyo(NE);ROOT[undefined: undefined]  capital[1: 1]    prefecture[2: 1]      Tokyo[3: 1]    Tokyo[2: 2]      prefecture[3: 1]  prefecture[1: 2]    capital[2: 1]      Tokyo[3: 1]    Tokyo[2: 2]      capital[3: 1]  Tokyo[1: 3]    capital[2: 1]      prefecture[3: 1]    prefecture[2: 2]      capital[3: 1];;;0;0;0;40;153273
202;What is the Chinese zodiac animal that follows the ox?;undefined;Chinese(NE),zodiac animal(undefined),follows(undefined),ox(undefined);ROOT[undefined: undefined]  Chinese[1: 1]    zodiac animal[2: 1]      follows[3: 1]        ox[4: 1]      ox[3: 2]        follows[4: 1]    follows[2: 2]      zodiac animal[3: 1]        ox[4: 1]      ox[3: 2]        zodiac animal[4: 1]    ox[2: 3]      zodiac animal[3: 1]        follows[4: 1]      follows[3: 2]        zodiac animal[4: 1]  zodiac animal[1: 2]    Chinese[2: 1]      follows[3: 1]        ox[4: 1]      ox[3: 2]        follows[4: 1]    follows[2: 2]      Chinese[3: 1]        ox[4: 1]      ox[3: 2]        Chinese[4: 1]    ox[2: 3]      Chinese[3: 1]        follows[4: 1]      follows[3: 2]        Chinese[4: 1]  follows[1: 3]    Chinese[2: 1]      zodiac animal[3: 1]        ox[4: 1]      ox[3: 2]        zodiac animal[4: 1]    zodiac animal[2: 2]      Chinese[3: 1]        ox[4: 1]      ox[3: 2]        Chinese[4: 1]    ox[2: 3]      Chinese[3: 1]        zodiac animal[4: 1]      zodiac animal[3: 2]        Chinese[4: 1]  ox[1: 4]    Chinese[2: 1]      zodiac animal[3: 1]        follows[4: 1]      follows[3: 2]        zodiac animal[4: 1]    zodiac animal[2: 2]      Chinese[3: 1]        follows[4: 1]      follows[3: 2]        Chinese[4: 1]    follows[2: 3]      Chinese[3: 1]        zodiac animal[4: 1]      zodiac animal[3: 2]        Chinese[4: 1];;;0;0;0;33;144724
214;What are the occupations of Kazuo Ishiguro’s daughter?;undefined;occupations(undefined),Kazuo Ishiguro’s(NE),daughter(undefined);ROOT[undefined: undefined]  occupations[1: 1]    Kazuo Ishiguro’s[2: 1]      daughter[3: 1]    daughter[2: 2]      Kazuo Ishiguro’s[3: 1]  Kazuo Ishiguro’s[1: 2]    occupations[2: 1]      daughter[3: 1]    daughter[2: 2]      occupations[3: 1]  daughter[1: 3]    occupations[2: 1]      Kazuo Ishiguro’s[3: 1]    Kazuo Ishiguro’s[2: 2]      occupations[3: 1];occupations,Kazuo Ishiguro’s (NE),daughter;occupation,Kazuo Ishiguro’s (match),child;0;0;0;7;22204
221;What language do they speak in Poland ?;undefined;language(undefined),speak(undefined),Poland(NE);ROOT[undefined: undefined]  language[1: 1]    speak[2: 1]      Poland[3: 1]    Poland[2: 2]      speak[3: 1]  speak[1: 2]    language[2: 1]      Poland[3: 1]    Poland[2: 2]      language[3: 1]  Poland[1: 3]    language[2: 1]      speak[3: 1]    speak[2: 2]      language[3: 1];;;0;0;0;182;1584110
234;Who was the fellow Hobbit who was an enemy of Frodo?;undefined;Hobbit(NE),enemy(undefined),Frodo(NE);ROOT[undefined: undefined]  Hobbit[1: 1]    enemy[2: 1]      Frodo[3: 1]    Frodo[2: 2]      enemy[3: 1]  enemy[1: 2]    Hobbit[2: 1]      Frodo[3: 1]    Frodo[2: 2]      Hobbit[3: 1]  Frodo[1: 3]    Hobbit[2: 1]      enemy[3: 1]    enemy[2: 2]      Hobbit[3: 1];;;0;0;0;7;14007
