ID;QALD;IDS SPARQL;Keywords Extracted;instrTree.txt;instrPath;Longest QT-Path;Precision;Recall;F1-Score;Nb Call;Runtime
202;What is the Chinese zodiac animal that follows the ox?;undefined;Chinese(NE),zodiac animal(undefined),follows(undefined),ox(undefined);;Chinese (NE),follows,ox;Chinese (match),follows,CIVICUS Monitor country entry;0;0;0;8;496191
209;What is the mother tongue of the author Chimamanda Ngozi Adichie ?;undefined;mother tongue(undefined),author(undefined),Chimamanda Ngozi Adichie(NE);;Chimamanda Ngozi Adichie (NE),author,mother tongue;Chimamanda Ngozi Adichie (match),author,language of work or name;0;0;0;4;62509
214;What are the occupations of Kazuo Ishiguro's daughter?;undefined;occupations(undefined),Kazuo Ishiguro(NE),daughter(undefined);;Kazuo Ishiguro (NE),daughter,occupations;Kazuo Ishiguro (match),father,occupation;0;0;0;6;89504
221;What language do they speak in Poland ?;undefined;language(undefined),speak(undefined),Poland(NE);;Poland (NE),speak,language;Poland (match),languages spoken, written or signed,human;0;0;0;4;102907
224;What notes does a C major chord consist of?;undefined;notes(undefined),C chord(undefined),consist(undefined);;notes;proportion;0;0;0;105;5207931
234;Who was the fellow Hobbit who was an enemy of Frodo?;undefined;Hobbit(NE),enemy(undefined),Frodo(NE);;Frodo (NE);Frodo (match);0;0;0;3;56292
236;What was the main subject addressed in the Deep Purple song “Smoke on the water”?;undefined;subject(undefined),addressed(undefined),Deep Purple song(undefined),Smoke on the water(NE);;Smoke on the water (NE),addressed,subject;Smoke on the water (match),director,cast member;0;0;0;16;561469
238;What year did the Berlin Wall fall?;undefined;year(undefined),Berlin Wall(NE),fall(undefined);;Berlin Wall (NE),year,fall;Berlin Wall (match),country,category for people who died here;0;0;0;14;480822
245;When did the brother of the author of Slaughterhouse Five die?;undefined;brother(undefined),author(undefined),Slaughterhouse Five(NE);;Slaughterhouse Five (NE),author,brother;Slaughterhouse Five (match),author,sibling;0;0;0;5;111697
246;when was the creator of saturday night live born?;undefined;creator(undefined),saturday night live(NE),born(undefined);;born,creator;toy,decision maker;0;0;0;13;688087
253;when was the magazine in which hunter x hunter is published established?;undefined;magazine(undefined),hunter x hunter(NE),published(undefined),established(undefined);;hunter x hunter (NE),magazine,established,published;hunter x hunter (match),publication date,enacted date,published in;0;0;0;9;187019
267;When was the jazz club Birdland in Hamburg founded?;undefined;jazz club Birdland(undefined),Hamburg(NE),founded(undefined);;founded;building material;0;0;0;42;502763
268;When was the poem Howl written?;undefined;poem Howl(undefined),written(undefined);;;;0;0;0;1;5766
269;When was the university of Cambridge founded?;undefined;university(undefined),Cambridge(NE),founded(undefined);;Cambridge (NE),university,founded;Cambridge (match),university building,founded by;0;0;0;4;63919
270;When was the University of Hamburg founded?;undefined;University of Hamburg(NE),founded(undefined);;University of Hamburg (NE),founded;University of Hamburg (match),inception;0.1111111111111111;1;0.19999999999999998;3;31676
271;When was the University of Saskatchewan founded?;undefined;University of Saskatchewan(NE),founded(undefined);;University of Saskatchewan (NE),founded;University of Saskatchewan (match),inception;0.3333333333333333;1;0.5;3;28559
277;Where do the novels of the franchise The Lord of the Rings take place?;undefined;novels(undefined),franchise(undefined),The Lord of the Rings(NE),take(undefined),place(undefined);;The Lord of the Rings (NE),novels,franchise,place,take;The Lord of the Rings (match),fictional universe described in,fictional universe,takes place in fictional universe,uses;0;0;0;7;471012
280;Where was K-pop star Lisa Manoban born?;undefined;K pop star Lisa Manoban(undefined),born(undefined);;;;0;0;0;1;5735
282;Where did the psychedelic band “Khruangbin” form?;undefined;band(undefined),Khruangbin form(undefined);;;;0;0;0;1;5707
284;Where was Goethe's unmarried partner born ?;undefined;Goethe(NE),partner(undefined),born(undefined);;Goethe (NE),partner,born;Goethe (match),partnership with,headquarters location;0;0;0;4;90683
286;Where was the author of The Catcher in the Rye born ?;undefined;author(undefined),The Catcher in the Rye(NE),born(undefined);;The Catcher in the Rye (NE),author;The Catcher in the Rye (match),cites work;0;0;0;13;244661
292;Which art movement was Yoko Ono part of?;undefined;art movement(undefined),Yoko Ono(NE),part(undefined);;art movement;Eccentrism;0;0;0;39;532643
294;What caused Kobe Bryant's Death?;undefined;caused(undefined),Kobe Bryant(NE),Death(undefined);;caused;free and open-source software;0;0;0;54;1477372
296;Which businesses are founded by the person in charge of Tesla?;undefined;businesses(undefined),founded(undefined),person(undefined),charge(undefined),Tesla(NE);;Tesla (NE),businesses,charge,person,founded;Tesla (match),business,chief executive officer,personal pronoun,combines lexemes;0;0;0;26;421427
298;Which aircraft did Howard Hughes build?;undefined;aircraft(undefined),Howard Hughes(NE),build(undefined);;Howard Hughes (NE),build,aircraft;Howard Hughes (match),developer,first flight;0;0;0;4;86435
301;Which disease caused the death of Mark Twain?;undefined;disease(undefined),caused(undefined),death(undefined),Mark Twain(NE);;disease;climate activist;0;0;0;231;5916330
302;Which diseases can be caused by smoking ?;undefined;diseases(undefined),caused(undefined),smoking(undefined);;smoking,caused,diseases;health effect,cause of death,health effect;0;0;0;284;6583919
305;Which kingdom preceded the Thonburi Kingdom ?;undefined;kingdom(undefined),preceded(undefined),Thonburi Kingdom(NE);;Thonburi Kingdom (NE),preceded,kingdom;Thonburi Kingdom (match),named after,country;0;0;0;6;110070
307;Which movements is the painting “Les Demoiselles d'Avignon” assigned to?;undefined;movements(undefined),painting(undefined),Les Demoiselles d'Avignon(undefined),assigned(undefined);;;;0;0;0;1;10128
308;Which movies belong to the Cornetto trilogy ?;undefined;movies(undefined),belong(undefined),Cornetto trilogy(undefined);;movies,belong,Cornetto trilogy;film,part of the series,trilogy;0;0;0;4;466555
309;During what event was the Four Policemen Council proposed?;undefined;event(undefined),Four Policemen Council(NE),proposed(undefined);;event;social;0;0;0;162;3724539
312;Which other movies by the director of Another Round also starred Mads Mikkelsen ?;undefined;movies(undefined),director(undefined),Another Round(NE),starred(undefined),Mads Mikkelsen(NE);;Another Round (NE),director,movies,starred,Mads Mikkelsen (NE);Another Round (match),director,screenwriter,cast member,Mads Mikkelsen (match);0;0;0;11;152472
316;Which songs made up the album Fijación Oral vol. 1 ?;undefined;songs(undefined),made(undefined),album Fijación(undefined),vol.(undefined);;;;0;0;0;1;10018
320;Which teams participated in the 2020 UEFA Champions League Final ?;undefined;teams(undefined),participated(undefined),UEFA Champions League Final(NE);;UEFA Champions League Final (NE),participated,teams;UEFA Champions League Final (match),participating team,team captain;0;0;0;4;121443
335;Who is the creator of the Dinosaurs tv show ?;undefined;creator(undefined),Dinosaurs tv show(undefined);;;;0;0;0;1;5852
341;In which country is the Nanga Parbat located?;undefined;country(undefined),Nanga Parbat(NE),located(undefined);;Nanga Parbat (NE),country,located;Nanga Parbat (match),country,located in or next to body of water;0;0;0;4;83428
344;For what literature prize was Simone de Beauvoir nominated?;undefined;literature prize(undefined),Simone de Beauvoir(NE),nominated(undefined);;Simone de Beauvoir (NE),nominated,literature prize;Simone de Beauvoir (match),nominated for,literary award;1;1;1;4;40878
345;What is the website of NPR's “Tiny Desk Concert”?;undefined;website(undefined),NPR(NE),Tiny Desk Concert(NE);;website;travel website;0;0;0;37;269971
350;Who was the original actor who played Pinhead ?;undefined;actor(undefined),played(undefined),Pinhead(NE);;Pinhead (NE),played,actor;Pinhead (match),characters,performer;0;0;0;11;222526
353;Who wrote the poem Howl ?;undefined;wrote(undefined),poem Howl(undefined);;;;0;0;0;1;5807
376;What is the area of the great lakes?;undefined;area(undefined),lakes(undefined);;area,lakes;area,water area;0;0;0;8;557685
377;What is native name of the composer of the Japanese national anthem?;undefined;name(undefined),composer(undefined),Japanese(NE),anthem(undefined);;Japanese (NE),anthem,composer,name;Japanese (match),anthem,composer,name in kana;0;0;0;33;458091
378;Who is the founder of the capital of Vietnam?;undefined;founder(undefined),capital(undefined),Vietnam(NE);;Vietnam (NE),capital,founder;Vietnam (match),capital,founded by;0.5;1;0.6666666666666666;5;508555
379;Who is the manager of the operator of Neumayer III?;undefined;manager(undefined),operator(undefined),Neumayer III(NE);;manager;risk management;0;0;0;67;1165617
383;What is the area of the capital of Spitsbergen?;undefined;area(undefined),capital(undefined),Spitsbergen(NE);;Spitsbergen (NE),capital,area;Spitsbergen (match),capital,area;1;1;1;4;164698
384;What percentage of Andorra is covered with water?;undefined;percentage(undefined),Andorra(NE),covered(undefined),water(undefined);;Andorra (NE),percentage,water,covered;Andorra (match),number of seats,water as percent of area,topic's main category;0;0;0;23;567090
387;At what coordinates was the "Sender Teutoburger Wald" erected?;undefined;coordinates(undefined),Sender Teutoburger Wald(NE),erected(undefined);;Sender Teutoburger Wald (NE),erected,coordinates;Sender Teutoburger Wald (match),height,points for;0;0;0;6;104813
388;Where is the poet Alexander Pope buried?;undefined;poet(undefined),Alexander Pope(NE),buried(undefined);;buried,poet;secret society,movement;0;0;0;119;3128124
390;Who founded the architectural firm who planned the Elbphilharmonie?;undefined;founded(undefined),firm(undefined),planned(undefined),Elbphilharmonie(NE);;Elbphilharmonie (NE),planned,firm,founded;Elbphilharmonie (match),architect,architectural firm,founded by;1;1;1;6;161711
391;Where are the founders of the band Metallica from?;undefined;founders(undefined),band(undefined),Metallica(NE);;Metallica (NE),band,founders;Metallica (match),heavy metal band,founded by;0;0;0;4;76022
392;Where does the Granny Smith apple variety come from?;undefined;Granny Smith apple variety(undefined),come(undefined);;;;0;0;0;1;5893
