ID;QALD;IDS SPARQL;Keywords Extracted;instrTree.txt;instrPath;Longest QT-Path;Precision;Recall;F1-Score;Nb Call;Runtime
199;what did the author of the phrase: "Alea iacta est" die of?;undefined;author(undefined),phrase(undefined),Alea(undefined),die(undefined);;;;0;0;0;1;17050
200;What is the binary gender of the partner of Allen Ginsberg ?;undefined;gender(undefined),partner(undefined),Allen Ginsberg(NE);;gender;gender identity;0.0125;1;0.02469135802469136;145;6195092
201;What is the capital of the prefecture Tokyo ?;undefined;capital(undefined),prefecture(undefined),Tokyo(NE);;Tokyo (NE),capital,prefecture;Tokyo (match),capital,twinned administrative body;0;0;0;140;1600684
202;What is the Chinese zodiac animal that follows the ox?;undefined;Chinese(NE),zodiac animal(undefined),follows(undefined),ox(undefined);;;;0;0;0;8;565145
209;What is the mother tongue of the author Chimamanda Ngozi Adichie ?;undefined;mother tongue(undefined),author(undefined),Chimamanda Ngozi Adichie(NE);;Chimamanda Ngozi Adichie (NE),author,mother tongue;Chimamanda Ngozi Adichie (match),author,languages spoken, written or signed;0.3333333333333333;1;0.5;85;2169641
214;What are the occupations of Kazuo Ishiguro's daughter?;undefined;occupations(undefined),Kazuo Ishiguro(NE),daughter(undefined);;Kazuo Ishiguro (NE),daughter,occupations;Kazuo Ishiguro (match),father,occupation;1;1;1;9;153815
221;What language do they speak in Poland ?;undefined;language(undefined),speak(undefined),Poland(NE);;Poland (NE),speak;Poland (match),language used;0.9090909090909091;1;0.9523809523809523;482;6623065
224;What notes does a C major chord consist of?;undefined;notes(undefined),C chord(undefined),consist(undefined);;notes;note;0.015;1;0.02955665024630542;104;5937512
234;Who was the fellow Hobbit who was an enemy of Frodo?;undefined;Hobbit(NE),enemy(undefined),Frodo(NE);;;;0;0;0;3;64707
236;What was the main subject addressed in the Deep Purple song “Smoke on the water”?;undefined;subject(undefined),addressed(undefined),Deep Purple song(undefined),Smoke on the water(NE);;;;0;0;0;15;572102
238;What year did the Berlin Wall fall?;undefined;year(undefined),Berlin Wall(NE),fall(undefined);;;;0;0;0;208;11337380
245;When did the brother of the author of Slaughterhouse Five die?;undefined;brother(undefined),author(undefined),Slaughterhouse Five(NE);;;;0;0;0;44;422781
246;when was the creator of saturday night live born?;undefined;creator(undefined),saturday night live(NE),born(undefined);;;;0;0;0;13;726965
253;when was the magazine in which hunter x hunter is published established?;undefined;magazine(undefined),hunter x hunter(NE),published(undefined),established(undefined);;hunter x hunter (NE),magazine,established,published;hunter x hunter (match),publication date,date of first performance,published in;0;0;0;19;287427
267;When was the jazz club Birdland in Hamburg founded?;undefined;jazz club Birdland(undefined),Hamburg(NE),founded(undefined);;;;0;0;0;42;504078
268;When was the poem Howl written?;undefined;poem Howl(undefined),written(undefined);;;;0;0;0;1;5799
269;When was the university of Cambridge founded?;undefined;university(undefined),Cambridge(NE),founded(undefined);;Cambridge (NE),university,founded;Cambridge (match),collegiate university,inception;1;1;1;24;204420
270;When was the University of Hamburg founded?;undefined;University of Hamburg(NE),founded(undefined);;University of Hamburg (NE),founded;University of Hamburg (match),inception;0.1111111111111111;1;0.19999999999999998;4;41830
271;When was the University of Saskatchewan founded?;undefined;University of Saskatchewan(NE),founded(undefined);;University of Saskatchewan (NE),founded;University of Saskatchewan (match),inception;0.3333333333333333;1;0.5;3;32948
277;Where do the novels of the franchise The Lord of the Rings take place?;undefined;novels(undefined),franchise(undefined),The Lord of the Rings(NE),take(undefined),place(undefined);;;;0;0;0;427;8954924
280;Where was K-pop star Lisa Manoban born?;undefined;K pop star Lisa Manoban(undefined),born(undefined);;;;0;0;0;1;6101
282;Where did the psychedelic band “Khruangbin” form?;undefined;band(undefined),Khruangbin form(undefined);;;;0;0;0;1;5820
284;Where was Goethe's unmarried partner born ?;undefined;Goethe(NE),partner(undefined),born(undefined);;;;0;0;0;32;781041
286;Where was the author of The Catcher in the Rye born ?;undefined;author(undefined),The Catcher in the Rye(NE),born(undefined);;;;0;0;0;13;245961
292;Which art movement was Yoko Ono part of?;undefined;art movement(undefined),Yoko Ono(NE),part(undefined);;art movement;art movement;0.005;1;0.009950248756218907;39;496137
294;What caused Kobe Bryant's Death?;undefined;caused(undefined),Kobe Bryant(NE),Death(undefined);;Kobe Bryant (NE),caused;Kobe Bryant (match),cause of death;0.5;1;0.6666666666666666;54;1523350
296;Which businesses are founded by the person in charge of Tesla?;undefined;businesses(undefined),founded(undefined),person(undefined),charge(undefined),Tesla(NE);;Tesla (NE),businesses,charge,founded;Tesla (match),business,chief executive officer,founded by;0.8333333333333334;1;0.9090909090909091;473;3350491
298;Which aircraft did Howard Hughes build?;undefined;aircraft(undefined),Howard Hughes(NE),build(undefined);;Howard Hughes (NE),build;Howard Hughes (match),developer;1;1;1;5;94140
301;Which disease caused the death of Mark Twain?;undefined;disease(undefined),caused(undefined),death(undefined),Mark Twain(NE);;Mark Twain (NE),caused;Mark Twain (match),cause of death;1;1;1;8;218069
302;Which diseases can be caused by smoking ?;undefined;diseases(undefined),caused(undefined),smoking(undefined);;diseases,caused;infectious disease,cause of death;1;0.14285714285714285;0.25;322;8027092
305;Which kingdom preceded the Thonburi Kingdom ?;undefined;kingdom(undefined),preceded(undefined),Thonburi Kingdom(NE);;Thonburi Kingdom (NE),preceded;Thonburi Kingdom (match),replaces;1;1;1;16;254619
307;Which movements is the painting “Les Demoiselles d'Avignon” assigned to?;undefined;movements(undefined),painting(undefined),Les Demoiselles d'Avignon(undefined),assigned(undefined);;;;0;0;0;1;11589
308;Which movies belong to the Cornetto trilogy ?;undefined;movies(undefined),belong(undefined),Cornetto trilogy(undefined);;;;0;0;0;1528;14181004
309;During what event was the Four Policemen Council proposed?;undefined;event(undefined),Four Policemen Council(NE),proposed(undefined);;event;significant event;0.1;1;0.18181818181818182;162;4045252
312;Which other movies by the director of Another Round also starred Mads Mikkelsen ?;undefined;movies(undefined),director(undefined),Another Round(NE),starred(undefined),Mads Mikkelsen(NE);;Another Round (NE),director,movies,starred,Mads Mikkelsen (NE);Another Round (match),director,screenwriter,cast member,Mads Mikkelsen (match);0;0;0;306;2246239
316;Which songs made up the album Fijación Oral vol. 1 ?;undefined;songs(undefined),made(undefined),album Fijación(undefined),vol.(undefined);;;;0;0;0;1;10170
335;Who is the creator of the Dinosaurs tv show ?;undefined;creator(undefined),Dinosaurs tv show(undefined);;;;0;0;0;1;5881
341;In which country is the Nanga Parbat located?;undefined;country(undefined),Nanga Parbat(NE),located(undefined);;Nanga Parbat (NE),country,located;Nanga Parbat (match),country,located in the present-day administrative territorial entity;0;0;0;6;98955
344;For what literature prize was Simone de Beauvoir nominated?;undefined;literature prize(undefined),Simone de Beauvoir(NE),nominated(undefined);;Simone de Beauvoir (NE),nominated;Simone de Beauvoir (match),nominated for;1;1;1;4;46703
345;What is the website of NPR's “Tiny Desk Concert”?;undefined;website(undefined),NPR(NE),Tiny Desk Concert(NE);;Tiny Desk Concert (NE),website;Tiny Desk Concert (match),official website;1;1;1;4;28090
350;Who was the original actor who played Pinhead ?;undefined;actor(undefined),played(undefined),Pinhead(NE);;Pinhead (NE),actor,played;Pinhead (match),performer,described by source;0;0;0;24;344354
353;Who wrote the poem Howl ?;undefined;wrote(undefined),poem Howl(undefined);;;;0;0;0;1;5770
376;What is the area of the great lakes?;undefined;area(undefined),lakes(undefined);;;;0;0;0;1159;14249000
377;What is native name of the composer of the Japanese national anthem?;undefined;name(undefined),composer(undefined),Japanese(NE),anthem(undefined);;Japanese (NE),anthem,composer,name;Japanese (match),anthem,composer,name in native language;1;1;1;34;464489
378;Who is the founder of the capital of Vietnam?;undefined;founder(undefined),capital(undefined),Vietnam(NE);;Vietnam (NE),capital,founder;Vietnam (match),capital city,founded by;1;1;1;11;540772
379;Who is the manager of the operator of Neumayer III?;undefined;manager(undefined),operator(undefined),Neumayer III(NE);;;;0;0;0;66;1135679
383;What is the area of the capital of Spitsbergen?;undefined;area(undefined),capital(undefined),Spitsbergen(NE);;Spitsbergen (NE),capital,area;Spitsbergen (match),capital,area;1;1;1;4;178177
384;What percentage of Andorra is covered with water?;undefined;percentage(undefined),Andorra(NE),covered(undefined),water(undefined);;Andorra (NE),covered,water;Andorra (match),topic's main category,water as percent of area;1;1;1;81;1229776
387;At what coordinates was the "Sender Teutoburger Wald" erected?;undefined;coordinates(undefined),Sender Teutoburger Wald(NE),erected(undefined);;Sender Teutoburger Wald (NE),coordinates;Sender Teutoburger Wald (match),coordinate location;1;1;1;3;49037
388;Where is the poet Alexander Pope buried?;undefined;poet(undefined),Alexander Pope(NE),buried(undefined);;;;0;0;0;118;3112272
390;Who founded the architectural firm who planned the Elbphilharmonie?;undefined;founded(undefined),firm(undefined),planned(undefined),Elbphilharmonie(NE);;Elbphilharmonie (NE),planned,firm;Elbphilharmonie (match),architect,founded by;1;1;1;4;157628
391;Where are the founders of the band Metallica from?;undefined;founders(undefined),band(undefined),Metallica(NE);;;;0;0;0;74;1827381
392;Where does the Granny Smith apple variety come from?;undefined;Granny Smith apple variety(undefined),come(undefined);;;;0;0;0;1;5733
