ID;QALD;IDS SPARQL;Keywords Extracted;instrTree.txt;instrPath;Longest QT-Path;Precision;Recall;F1-Score;Runtime;Nb Call
282;Where did the psychedelic band “Khruangbin” form?;undefined;band(undefined),Khruangbin form(undefined);;;;0;0;0;1;11283
284;Where was Goethe’s unmarried partner born ?;undefined;Goethe(NE),partner(undefined),born(undefined);;Goethe (NE),partner,born;Goethe (match),unmarried partner,birth name;0;0;0;4;17569
286;Where was the author of The Catcher in the Rye born ?;undefined;author(undefined),The Catcher in the Rye(NE),born(undefined);;The Catcher in the Rye (NE),author,born;The Catcher in the Rye (match),author,given name;0;0;0;4;10509
296;Which businesses are founded by the person in charge of Tesla?;undefined;businesses(undefined),founded(undefined),person(undefined),charge(undefined),Tesla(NE);;Tesla (NE),businesses,founded,person,charge;Tesla (match),business,affiliated worker organisation,works council,affiliated worker organisation;0;0;0;6;22157
298;Which aircraft did Howard Hughes build?;undefined;aircraft(undefined),Howard Hughes(NE),build(undefined);;Howard Hughes (NE),build,aircraft;Howard Hughes (match),developer,proposed aircraft;2;1;1.3333333333333333;4;12512
301;Which disease caused the death of Mark Twain?;undefined;disease(undefined),caused(undefined),death(undefined),Mark Twain(NE);;Mark Twain (NE),death,caused,disease;Mark Twain (match),manner of death,end cause,human;0;0;0;5;19610
302;Which diseases can be caused by smoking ?;undefined;diseases(undefined),caused(undefined),smoking(undefined);;;;0;0;0;1;24115
305;Which kingdom preceded the Thonburi Kingdom ?;undefined;kingdom(undefined),preceded(undefined),Thonburi Kingdom(NE);;Thonburi Kingdom (NE),preceded,kingdom;Thonburi Kingdom (match),follows,continent;0;0;0;4;6736
307;Which movements is the painting “Les Demoiselles d'Avignon” assigned to?;undefined;movements(undefined),painting(undefined),Les Demoiselles d'Avignon(NE),assigned(undefined);;Les Demoiselles d'Avignon (NE),movements,painting,assigned;Les Demoiselles d'Avignon (match),movement,painting movement,named after;0;0;0;5;13865
308;Which movies belong to the Cornetto trilogy ?;undefined;movies(undefined),belong(undefined),Cornetto trilogy(undefined);;;;0;0;0;1;12628
309;During what event was the Four Policemen Council proposed?;undefined;event(undefined),Four Policemen Council(NE),proposed(undefined);;;;0;0;0;1;46351
312;Which other movies by the director of Another Round also starred Mads Mikkelsen ?;undefined;movies(undefined),director(undefined),Another Round(NE),starred(undefined),Mads Mikkelsen(NE);;Another Round (NE),director,movies,starred,Mads Mikkelsen (NE);Another Round (match),director,screenwriter,cast member,Mads Mikkelsen (match);0;0;0;9;18197
316;Which songs made up the album Fijación Oral vol. 1 ?;undefined;songs(undefined),made(undefined),album Fijación(undefined),vol.(undefined);;;;0;0;0;1;3787
320;Which teams participated in the 2020 UEFA Champions League Final ?;undefined;teams(undefined),participated(undefined),UEFA Champions League Final(NE);;UEFA Champions League Final (NE),participated,teams;UEFA Champions League Final (match),participant,professional sports team;0;0;0;5;10938
335;Who is the creator of the Dinosaurs tv show ?;undefined;creator(undefined),Dinosaurs tv show(undefined);;;;0;0;0;1;6451
341;In which country is the Nanga Parbat located?;undefined;country(undefined),Nanga Parbat(NE),located(undefined);;Nanga Parbat (NE),country,located;Nanga Parbat (match),country,area;0;0;0;7;15196
344;For what literature prize was Simone de Beauvoir nominated?;undefined;literature prize(undefined),Simone de Beauvoir(NE),nominated(undefined);;Simone de Beauvoir (NE),nominated,literature prize;Simone de Beauvoir (match),award received,literary award;0;0;0;4;10583
345;What is the website of NPR's “Tiny Desk Concert”?;undefined;website(undefined),NPR(NE),Tiny Desk Concert(NE);;Tiny Desk Concert (NE),website;Tiny Desk Concert (match),logo image;0;0;0;8;10181
348;Who was the director of Llamas with Hats ?;undefined;director(undefined),Llamas with Hats(NE);;Llamas with Hats (NE),director;Llamas with Hats (match),director;1;1;1;3;2883
350;Who was the original actor who played Pinhead ?;undefined;actor(undefined),played(undefined),Pinhead(NE);;Pinhead (NE),played,actor;Pinhead (match),extended play,performer;0;0;0;4;13078
353;Who wrote the poem Howl ?;undefined;wrote(undefined),poem Howl(undefined);;;;0;0;0;1;5901
377;What is native name of the composer of the Japanese national anthem?;undefined;name(undefined),composer(undefined),Japanese(NE),anthem(undefined);;Japanese (NE),name,composer,anthem;Japanese (match),language of work or name,writing language,anthem;0;0;0;49;138295
378;Who is the founder of the capital of Vietnam?;undefined;founder(undefined),capital(undefined),Vietnam(NE);;Vietnam (NE),capital,founder;Vietnam (match),capital,creator;0;0;0;4;38351
379;Who is the manager of the operator of Neumayer III?;undefined;manager(undefined),operator(undefined),Neumayer III(NE);;Neumayer III (NE),operator,manager;Neumayer III (match),operator,director / manager;0.2;1;0.33333333333333337;4;9209
380;How high is the mountain on which Günther Messner died?;undefined;mountain(undefined),Günther Messner(NE),died(undefined);;Günther Messner (NE),died,mountain;Günther Messner (match),family name,different from;0;0;0;6;11298
383;What is the area of the capital of Spitsbergen?;undefined;area(undefined),capital(undefined),Spitsbergen(NE);;Spitsbergen (NE),capital,area;Spitsbergen (match),capital,area;1;1;1;4;13394
384;What percentage of Andorra is covered with water?;undefined;percentage(undefined),Andorra(NE),covered(undefined),water(undefined);;Andorra (NE),percentage,covered,water;Andorra (match),total fertility rate,residence time of water,lake outflow;0;0;0;5;25201
387;At what coordinates was the "Sender Teutoburger Wald" erected?;undefined;coordinates(undefined),Sender Teutoburger Wald(NE),erected(undefined);;Sender Teutoburger Wald (NE),coordinates,erected;Sender Teutoburger Wald (match),located in the administrative territorial entity,named after;0;0;0;5;9046
388;Where is the poet Alexander Pope buried?;undefined;poet(undefined),Alexander Pope(NE),buried(undefined);;Alexander Pope (NE),poet,buried;Alexander Pope (match),librettist,different from;0;0;0;4;8364
390;Who founded the architectural firm who planned the Elbphilharmonie?;undefined;founded(undefined),firm(undefined),planned(undefined),Elbphilharmonie(NE);;Elbphilharmonie (NE),planned,firm,founded;Elbphilharmonie (match),main building contractor,business,inception;0;0;0;7;11457
391;Where are the founders of the band Metallica from?;undefined;founders(undefined),band(undefined),Metallica(NE);;Metallica (NE),band,founders;Metallica (match),heavy metal band,inception;0;0;0;4;12213
