ID;QALD;Keywords Extracted;Longest QT-Path;Precision;Recall;F1-Score
269;When was the university of Cambridge founded?;university,founded;the university of Cambridge (match);0;0;null
270;When was the University of Hamburg founded?;University,founded;the University of Hamburg (match);0;0;null
271;When was the University of Saskatchewan founded?;University,founded;the University of Saskatchewan (match);0;0;null
272;When was the Vatican City created?;created;the Vatican City (match),inception;0;0;null
273;When was United Fruit Company founded?;founded;United Fruit Company (match),founded by;0;0;null
274;Where did Trotzky die?;die;Trotzky (match);0;0;null
276;Where did the Hambach Festival happen?;happen;the Hambach Festival (match);0;0;null
278;Where does the Nutri-Score originate from?;originate;;null;0;null
283;Where was Caesar murdered?;murdered;Caesar (match);0;0;null
285;Where was Roland Corporation founded?;founded;Roland Corporation (match),founded by;0;0;null
287;Who developed the Erlangen program?;developed;Erlangen (match),developer;0;0;null
292;Which art movement was Yoko Ono part of?;art movement,part;Yoko Ono (match),movement;1;1;1
294;What caused Kobe Bryant's Death?;caused,Death;Kobe Bryant's (match),cause of death,date of death;0;0;null
295;What are the opposites of zero?;;opposite;0;0;null
314;What is the offical language of Taipei?;language;Taipei (match),language of work or name;0;0;null
323;Who developed WordNet?;developed;WordNet (match),developer;0.5;1;0.6666666666666666
324;Who are the actresses in Portrait of a Lady on Fire?;actresses,Lady,Fire;Portrait of a Lady on Fire (match);0;0;null
326;Who created the Turing machine?;created;Turing (match),inception;0;0;null
327;When was the Hambach Castle built?;built;the Hambach Castle (match),château;0;0;null
328;Who died at the North Pole?;died;the North Pole (match),place of death;0.5;1;0.6666666666666666
329;Who directed Anne with an E ?;directed,E;Anne with an E (match),director;1;1;1
330;Who wrote "Prototypical Networks for Few-shot Learning"?;wrote,Networks;Prototypical Networks for Few-shot Learning (match);0;0;null
331;Who founded “The Blue Rider”?;founded;The Blue Rider (match),founded by;1;1;1
332;Who founded the Worpswede artist colony ?;founded;Worpswede (match),founded by;1;1;1
333;Who is the author of “Convenience Store Woman” ?;author;Convenience Store Woman (match),author;1;1;1
339;Who is the publisher of Smite ?;publisher;Smite (match),publisher;1;1;1
340;Who wrote the Erlangen program?;wrote;Erlangen (match);0;0;null
346;Who was the creator of Boo-Boo Bear ?;creator;Boo-Boo Bear (match);0;0;null
347;Who was the creator of Unbreakable Kimmy Schmidt ?;creator;Unbreakable Kimmy Schmidt (match);0;0;null
349;Who founded the Roland Corporation?;founded;the Roland Corporation (match),founded by;0.5;1;0.6666666666666666
351;Who were the parents of Socrates ?;parents;Socrates (match),mother;1;0.5;0.6666666666666666
352;Who wrote Anne of Green Gables ?;wrote;Anne of Green Gables (match);0;0;null
354;Who's the author of The Hellbound Heart ?;author;The Hellbound Heart (match),author;1;1;1
355;Whom did Clara Westhoff marry?;marry;Clara Westhoff (match);0;0;null
357;When was Athens founded?;founded;Athens (match),founded by;0;0;null
381;What is the twitter name of Running Wild?;twitter name;Running Wild (match),Twitter username;0;0;null
389;In what country is the Kandahar-downhill?;country,Kandahar;the Kandahar-downhill (match),country;1;1;1
393;What is the Fujiyama made of?;made;Fujiyama (match);0;0;null
