ID;QALD;Keywords Extracted;Longest QT-Path;Precision;Recall;F1-Score
333;Who is the author of “Convenience Store Woman” ?;Convenience Store Woman;author;0;0;null
339;Who is the publisher of Smite ?;Smite;publisher,afflicts;0;0;null
340;Who wrote the Erlangen program?;wrote;Erlangen program (match);0.125;1;0.2222222222222222
346;Who was the creator of Boo-Boo Bear ?;Boo Boo Bear;creator;0;0;null
347;Who was the creator of Unbreakable Kimmy Schmidt ?;creator;Kimmy Schmidt (match);0;0;null
349;Who founded the Roland Corporation?;founded;Roland Corporation (match),founded by;0.5;1;0.6666666666666666
351;Who were the parents of Socrates ?;parents;Socrates (match),mother;1;0.5;0.6666666666666666
352;Who wrote Anne of Green Gables ?;Green Gables (NE),wrote;Anne (match);0;0;null
354;Who's the author of The Hellbound Heart ?;Hellbound Heart;author;0;0;null
355;Whom did Clara Westhoff marry?;marry;Clara Westhoff (match);0;0;null
357;When was Athens founded?;founded;Athens (match),founded by;0;0;null
381;What is the twitter name of Running Wild?;Running;Twitter username,cross country running;0;0;null
389;In what country is the Kandahar-downhill?;country;Kandahar-downhill (match),country;1;1;1
393;What is the Fujiyama made of?;made;Fujiyama (match);0;0;null
