ID;QALD;Keywords Extracted;Longest QT-Path;Precision;Recall;F1-Score
201;What is the capital of the prefecture Tokyo ?;capital,prefecture;Tokyo (match),capital;1;1;1
202;What is the Chinese zodiac animal that follows the ox?;zodiac animal,follows,ox;Chinese (match);0;0;null
214;What are the occupations of Kazuo Ishiguro’s daughter?;occupations,daughter;Kazuo Ishiguro’s (match);0;0;null
221;What language do they speak in Poland ?;language,speak;Poland (match),languages spoken, written or signed;0;0;null
234;Who was the fellow Hobbit who was an enemy of Frodo?;Frodo (NE),enemy;Hobbit (match);0;0;null
236;What was the main subject addressed in the Deep Purple song “Smoke on the water”?;Smoke on the water (NE),subject,addressed,water;Deep Purple (match);0;0;null
238;What year did the Berlin Wall fall?;year,fall;the Berlin Wall (match);0;0;null
245;When did the brother of the author of Slaughterhouse Five die?;brother,author;Slaughterhouse Five (match);0;0;null
246;when was the creator of saturday night live born?;creator,born;saturday night live (match);0;0;null
253;when was the magazine in which hunter x hunter is published established?;magazine,published,established;hunter x hunter (match);0;0;null
268;When was the poem Howl written?;written;Howl (match);0;0;null
280;Where was K-pop star Lisa Manoban born?;born;Lisa Manoban (match),date of birth;0;0;null
282;Where did the psychedelic band “Khruangbin” form?;band;Khruangbin (match),musical group;0;0;null
284;Where was Goethe’s unmarried partner born ?;partner,born;Goethe (match),spouse,date of birth;0;0;null
286;Where was the author of The Catcher in the Rye born ?;author,Catcher,born;The Catcher in the Rye (match),author;0;0;null
296;Which businesses are founded by the person in charge of Tesla?;businesses,founded,person,charge;Tesla (match),business,founded by,human,chief executive officer;0;0;null
298;Which aircraft did Howard Hughes build?;aircraft,build;Howard Hughes (match),aircraft model;0;0;null
301;Which disease caused the death of Mark Twain?;disease,caused,death;Mark Twain (match);0;0;null
302;Which diseases can be caused by smoking ?;caused,smoking;DiseasesDB,cause of death;0.09090909090909091;0.2857142857142857;0.13793103448275862
305;Which kingdom preceded the Thonburi Kingdom ?;kingdom,preceded;the Thonburi Kingdom (match);0;0;null
307;Which movements is the painting “Les Demoiselles d'Avignon” assigned to?;movements,painting,assigned;Les Demoiselles d'Avignon” (match),movement;1;1;1
308;Which movies belong to the Cornetto trilogy ?;movies,belong;Cornetto (match);0;0;null
309;During what event was the Four Policemen Council proposed?;event,proposed;;null;0;null
312;Which other movies by the director of Another Round also starred Mads Mikkelsen ?;Mads Mikkelsen (NE),movies,director,starred;Another Round (match);0;0;null
316;Which songs made up the album Fijación Oral vol. 1 ?;songs,made,vol.;Fijación Oral (match);0;0;null
320;Which teams participated in the 2020 UEFA Champions League Final ?;teams,participated;UEFA Champions League Final (match),participating team;0.1111111111111111;1;0.19999999999999998
335;Who is the creator of the Dinosaurs tv show ?;creator;Dinosaurs (match),author;0;0;null
341;In which country is the Nanga Parbat located?;country,located;the Nanga Parbat (match),country;0.5;1;0.6666666666666666
344;For what literature prize was Simone de Beauvoir nominated?;literature prize,nominated;Simone de Beauvoir (match);0;0;null
345;What is the website of NPR's “Tiny Desk Concert”?;Tiny Desk Concert (NE),website;NPR (match);0;0;null
348;Who was the director of Llamas with Hats ?;director,Hats;Llamas with Hats (match),director;1;1;1
350;Who was the original actor who played Pinhead ?;actor,played;Pinhead (match),performer,extended play;0;0;null
353;Who wrote the poem Howl ?;wrote;Howl (match);0;0;null
377;What is native name of the composer of the Japanese national anthem?;name,composer,anthem;Japanese (match),name;0;0;null
378;Who is the founder of the capital of Vietnam?;founder,capital;Vietnam (match),founded by;0.3333333333333333;1;0.5
379;Who is the manager of the operator of Neumayer III?;manager,operator;Neumayer III (match);0;0;null
380;How high is the mountain on which Günther Messner died?;mountain,died;Günther Messner (match);0;0;null
383;What is the area of the capital of Spitsbergen?;area,capital;Spitsbergen (match),area;0;0;null
384;What percentage of Andorra is covered with water?;percentage,covered,water;Andorra (match),literacy rate;0;0;null
387;At what coordinates was the "Sender Teutoburger Wald" erected?;coordinates,erected;;null;0;null
388;Where is the poet Alexander Pope buried?;poet,buried;Alexander Pope (match),Poets.org poet ID;0;0;null
390;Who founded the architectural firm who planned the Elbphilharmonie?;founded,firm,planned;Elbphilharmonie (match),founded by;0;0;null
391;Where are the founders of the band Metallica from?;founders,band;Metallica (match),founded by;0;0;null
392;Where does the Granny Smith apple variety come from?;come;Granny Smith (match),total produced;0;0;null
